Intersection,Date,Hour,Period,Session_Type,Cars,Boda_bodas,Tricycles,Minibuses,Heavy_Trucks,TriHeadway,CarHeadway,VC
Wandegeya Junction,2026-06-01,17,Peak,Day,770,810,26,102,5,3.88,2.82,1.12
Wandegeya Junction,2026-06-01,17,Peak,Day,771,842,31,66,8,3.79,2.44,1.15
Wandegeya Junction,2026-06-01,17,Peak,Day,738,859,19,70,5,3.42,2.3,1.18
Wandegeya Junction,2026-06-01,17,Peak,Day,757,784,22,60,6,3.46,3.09,1.11
Wandegeya Junction,2026-06-01,18,Peak,Day,743,842,33,65,8,3.46,2.17,1.15
Wandegeya Junction,2026-06-01,18,Peak,Day,802,838,30,82,10,3.41,2.51,1.2
Wandegeya Junction,2026-06-01,18,Peak,Day,722,843,27,83,12,4.38,2.19,1.21
Wandegeya Junction,2026-06-01,18,Peak,Day,755,930,33,67,5,2.24,2.29,1.2
Kibuye Roundabout,2026-06-01,7,Peak,Day,842,955,23,103,10,2.85,2.7,1.3
Kibuye Roundabout,2026-06-01,7,Peak,Day,901,988,18,75,2,3.24,3.0,1.35
Kibuye Roundabout,2026-06-01,7,Peak,Day,816,941,16,81,6,2.77,2.44,1.31
Kibuye Roundabout,2026-06-01,7,Peak,Day,855,970,30,67,3,3.47,2.2,1.35
Kibuye Roundabout,2026-06-01,8,Peak,Day,934,1093,44,90,15,3.18,2.89,1.35
Kibuye Roundabout,2026-06-01,8,Peak,Day,977,1007,37,98,12,2.71,1.68,1.35
Kibuye Roundabout,2026-06-01,8,Peak,Day,955,1106,30,90,13,2.45,2.48,1.35
Kibuye Roundabout,2026-06-01,8,Peak,Day,928,963,35,88,5,3.48,2.12,1.35
Kibuye Roundabout,2026-06-01,9,Off-Peak,Day,362,447,9,71,3,3.03,2.18,0.64
Kibuye Roundabout,2026-06-01,9,Off-Peak,Day,363,427,13,45,11,2.95,2.59,0.59
Kibuye Roundabout,2026-06-01,9,Off-Peak,Day,392,474,13,69,4,3.16,1.58,0.63
Kibuye Roundabout,2026-06-01,9,Off-Peak,Day,447,515,2,57,7,4.84,2.95,0.72
Kibuye Roundabout,2026-06-01,10,Off-Peak,Day,346,363,12,59,3,2.98,2.07,0.47
Kibuye Roundabout,2026-06-01,10,Off-Peak,Day,410,427,26,74,5,4.06,2.72,0.61
Kibuye Roundabout,2026-06-01,10,Off-Peak,Day,373,392,5,40,8,2.6,2.73,0.66
Kibuye Roundabout,2026-06-01,10,Off-Peak,Day,362,403,8,46,5,3.44,2.48,0.53
Kibuye Roundabout,2026-06-01,11,Off-Peak,Day,328,381,10,63,6,3.35,2.8,0.49
Kibuye Roundabout,2026-06-01,11,Off-Peak,Day,379,378,2,60,3,2.49,2.52,0.48
Kibuye Roundabout,2026-06-01,11,Off-Peak,Day,328,430,14,34,5,2.97,2.52,0.5
Kibuye Roundabout,2026-06-01,11,Off-Peak,Day,346,445,5,47,7,3.56,3.08,0.53
Kibuye Roundabout,2026-06-01,12,Off-Peak,Day,272,360,2,42,5,3.34,2.44,0.44
Kibuye Roundabout,2026-06-01,12,Off-Peak,Day,308,351,19,40,3,3.5,2.33,0.48
Kibuye Roundabout,2026-06-01,12,Off-Peak,Day,372,372,12,41,8,2.28,2.1,0.53
Kibuye Roundabout,2026-06-01,12,Off-Peak,Day,287,338,2,65,5,3.71,1.62,0.47
Kibuye Roundabout,2026-06-01,13,Off-Peak,Day,341,294,12,60,5,3.62,3.41,0.47
Kibuye Roundabout,2026-06-01,13,Off-Peak,Day,322,335,12,36,7,3.34,2.31,0.45
Kibuye Roundabout,2026-06-01,13,Off-Peak,Day,325,394,14,41,3,3.08,2.65,0.49
Kibuye Roundabout,2026-06-01,13,Off-Peak,Day,281,388,17,63,5,2.91,2.0,0.61
Kibuye Roundabout,2026-06-01,14,Off-Peak,Day,372,386,2,47,5,4.52,2.55,0.5
Kibuye Roundabout,2026-06-01,14,Off-Peak,Day,345,379,12,50,2,4.24,3.04,0.57
Kibuye Roundabout,2026-06-01,14,Off-Peak,Day,302,320,23,46,4,2.45,3.11,0.53
Kibuye Roundabout,2026-06-01,14,Off-Peak,Day,305,319,9,28,7,2.66,1.98,0.46
Kibuye Roundabout,2026-06-01,15,Off-Peak,Day,372,343,8,29,3,1.95,2.48,0.51
Kibuye Roundabout,2026-06-01,15,Off-Peak,Day,338,427,9,60,3,4.59,2.52,0.52
Kibuye Roundabout,2026-06-01,15,Off-Peak,Day,313,361,11,45,2,3.28,2.28,0.48
Kibuye Roundabout,2026-06-01,15,Off-Peak,Day,317,343,5,65,0,3.92,1.67,0.56
Kibuye Roundabout,2026-06-01,16,Off-Peak,Day,426,438,12,56,3,3.77,3.01,0.73
Kibuye Roundabout,2026-06-01,16,Off-Peak,Day,400,474,21,71,2,3.18,2.35,0.7
Kibuye Roundabout,2026-06-01,16,Off-Peak,Day,455,480,21,79,3,3.6,2.38,0.75
Kibuye Roundabout,2026-06-01,16,Off-Peak,Day,396,531,18,63,5,2.95,1.94,0.75
Kibuye Roundabout,2026-06-01,17,Peak,Day,864,897,17,102,1,3.41,2.46,1.35
Kibuye Roundabout,2026-06-01,17,Peak,Day,857,946,25,94,8,3.12,2.48,1.34
Kibuye Roundabout,2026-06-01,17,Peak,Day,783,894,31,90,8,3.31,2.64,1.24
Kibuye Roundabout,2026-06-01,17,Peak,Day,815,956,25,69,9,3.81,2.69,1.21
Kibuye Roundabout,2026-06-01,18,Peak,Day,877,1015,31,93,2,2.99,2.51,1.33
Kibuye Roundabout,2026-06-01,18,Peak,Day,817,955,33,72,6,2.84,1.96,1.23
Kibuye Roundabout,2026-06-01,18,Peak,Day,879,910,21,113,9,2.87,2.78,1.34
Kibuye Roundabout,2026-06-01,18,Peak,Day,847,1050,24,80,11,3.28,3.21,1.35
Bakuli Intersection,2026-06-01,7,Peak,Day,743,793,18,66,9,3.61,1.87,1.17
Bakuli Intersection,2026-06-01,7,Peak,Day,671,762,17,80,8,3.49,2.74,0.99
Bakuli Intersection,2026-06-01,7,Peak,Day,718,798,28,78,7,3.51,2.58,1.04
Bakuli Intersection,2026-06-01,7,Peak,Day,635,722,25,85,7,3.31,2.51,1.05
Bakuli Intersection,2026-06-01,8,Peak,Day,737,854,33,75,7,3.41,2.31,1.16
Bakuli Intersection,2026-06-01,8,Peak,Day,724,843,36,75,13,3.82,1.91,1.18
Bakuli Intersection,2026-06-01,8,Peak,Day,787,853,28,93,7,4.45,2.35,1.29
Bakuli Intersection,2026-06-01,8,Peak,Day,806,913,22,74,7,2.63,2.13,1.24
Bakuli Intersection,2026-06-01,9,Off-Peak,Day,333,403,4,56,10,3.79,2.41,0.51
Bakuli Intersection,2026-06-01,9,Off-Peak,Day,383,360,12,58,6,3.44,3.48,0.59
Bakuli Intersection,2026-06-01,9,Off-Peak,Day,341,380,7,47,4,4.01,2.27,0.6
Bakuli Intersection,2026-06-01,9,Off-Peak,Day,376,382,5,61,6,4.07,3.22,0.5
Bakuli Intersection,2026-06-01,10,Off-Peak,Day,328,396,7,55,7,3.21,2.18,0.65
Bakuli Intersection,2026-06-01,10,Off-Peak,Day,316,383,2,72,4,3.29,2.98,0.55
Bakuli Intersection,2026-06-01,10,Off-Peak,Day,323,365,32,63,7,3.59,2.36,0.64
Bakuli Intersection,2026-06-01,10,Off-Peak,Day,380,417,16,57,8,3.99,2.76,0.66
Bakuli Intersection,2026-06-01,11,Off-Peak,Day,329,412,10,38,6,3.31,3.01,0.53
Bakuli Intersection,2026-06-01,11,Off-Peak,Day,325,310,12,57,7,3.15,2.59,0.6
Bakuli Intersection,2026-06-01,11,Off-Peak,Day,379,360,13,51,7,3.08,2.58,0.57
Bakuli Intersection,2026-06-01,11,Off-Peak,Day,288,369,19,40,8,3.02,2.65,0.42
Bakuli Intersection,2026-06-01,12,Off-Peak,Day,267,281,21,63,0,3.52,2.3,0.33
Bakuli Intersection,2026-06-01,12,Off-Peak,Day,294,313,2,33,0,3.63,2.46,0.49
Bakuli Intersection,2026-06-01,12,Off-Peak,Day,232,242,24,32,4,3.18,2.64,0.38
Bakuli Intersection,2026-06-01,12,Off-Peak,Day,320,300,2,53,5,3.58,2.68,0.49
Bakuli Intersection,2026-06-01,13,Off-Peak,Day,329,325,15,50,4,2.96,3.22,0.57
Bakuli Intersection,2026-06-01,13,Off-Peak,Day,232,323,9,34,7,3.08,1.74,0.38
Bakuli Intersection,2026-06-01,13,Off-Peak,Day,197,254,6,51,7,2.82,2.48,0.38
Bakuli Intersection,2026-06-01,13,Off-Peak,Day,242,378,9,52,4,3.4,1.68,0.47
Bakuli Intersection,2026-06-01,14,Off-Peak,Day,264,283,8,39,10,3.01,2.73,0.45
Bakuli Intersection,2026-06-01,14,Off-Peak,Day,320,326,21,35,6,3.75,2.75,0.51
Bakuli Intersection,2026-06-01,14,Off-Peak,Day,269,376,18,45,11,4.17,2.58,0.46
Bakuli Intersection,2026-06-01,14,Off-Peak,Day,271,311,4,48,6,3.29,3.36,0.41
Bakuli Intersection,2026-06-01,15,Off-Peak,Day,297,319,23,43,6,3.17,1.83,0.42
Bakuli Intersection,2026-06-01,15,Off-Peak,Day,305,298,13,61,1,3.41,2.92,0.39
Bakuli Intersection,2026-06-01,15,Off-Peak,Day,266,361,23,41,4,3.63,1.87,0.52
Bakuli Intersection,2026-06-01,15,Off-Peak,Day,331,293,21,47,6,3.02,2.23,0.49
Bakuli Intersection,2026-06-01,16,Off-Peak,Day,437,467,13,54,8,3.87,1.8,0.53
Bakuli Intersection,2026-06-01,16,Off-Peak,Day,356,393,10,73,5,3.28,2.69,0.59
Bakuli Intersection,2026-06-01,16,Off-Peak,Day,351,485,14,53,1,4.05,2.84,0.6
Bakuli Intersection,2026-06-01,16,Off-Peak,Day,383,432,11,84,7,3.82,2.6,0.65
Bakuli Intersection,2026-06-01,17,Peak,Day,678,768,21,72,10,3.67,2.47,1.07
Bakuli Intersection,2026-06-01,17,Peak,Day,615,807,24,77,11,4.34,2.44,0.91
Bakuli Intersection,2026-06-01,17,Peak,Day,648,795,32,60,6,3.2,2.59,1.16
Bakuli Intersection,2026-06-01,17,Peak,Day,702,777,30,77,15,3.4,2.92,1.1
Bakuli Intersection,2026-06-01,18,Peak,Day,726,796,32,59,13,3.45,2.2,1.06
Bakuli Intersection,2026-06-01,18,Peak,Day,696,783,23,78,12,3.18,2.89,1.12
Bakuli Intersection,2026-06-01,18,Peak,Day,642,794,33,81,7,3.22,2.55,1.14
Bakuli Intersection,2026-06-01,18,Peak,Day,685,727,22,56,12,2.8,1.64,0.99
Bwaise Junction,2026-06-01,7,Peak,Day,595,787,17,83,6,3.79,2.37,1.14
Bwaise Junction,2026-06-01,7,Peak,Day,721,666,2,51,11,3.99,2.73,1.12
Bwaise Junction,2026-06-01,7,Peak,Day,671,752,27,74,8,2.92,2.39,1.05
Bwaise Junction,2026-06-01,7,Peak,Day,638,682,8,58,8,3.76,1.87,1.03
Bwaise Junction,2026-06-01,8,Peak,Day,745,762,17,76,10,3.35,1.97,1.06
Bwaise Junction,2026-06-01,8,Peak,Day,723,738,20,84,8,3.41,3.05,1.11
Bwaise Junction,2026-06-01,8,Peak,Day,697,806,25,85,9,2.95,2.23,1.12
Bwaise Junction,2026-06-01,8,Peak,Day,774,752,13,70,6,3.15,3.0,1.16
Bwaise Junction,2026-06-01,9,Off-Peak,Day,361,362,6,78,2,3.62,2.67,0.57
Bwaise Junction,2026-06-01,9,Off-Peak,Day,347,397,10,51,8,3.02,1.95,0.67
Bwaise Junction,2026-06-01,9,Off-Peak,Day,442,363,11,72,11,3.58,3.15,0.59
Bwaise Junction,2026-06-01,9,Off-Peak,Day,344,372,9,40,4,3.32,2.19,0.47
Bwaise Junction,2026-06-01,10,Off-Peak,Day,279,389,13,60,0,3.91,2.02,0.53
Bwaise Junction,2026-06-01,10,Off-Peak,Day,349,347,25,49,7,3.57,2.13,0.54
Bwaise Junction,2026-06-01,10,Off-Peak,Day,284,371,13,39,3,3.85,2.74,0.55
Bwaise Junction,2026-06-01,10,Off-Peak,Day,323,424,2,51,12,3.4,2.38,0.58
Bwaise Junction,2026-06-01,11,Off-Peak,Day,311,384,12,59,3,2.38,2.7,0.46
Bwaise Junction,2026-06-01,11,Off-Peak,Day,241,371,2,77,5,3.34,2.46,0.52
Bwaise Junction,2026-06-01,11,Off-Peak,Day,306,367,18,51,3,3.21,2.2,0.56
Bwaise Junction,2026-06-01,11,Off-Peak,Day,285,357,15,47,8,3.29,2.83,0.51
Bwaise Junction,2026-06-01,12,Off-Peak,Day,283,297,20,23,1,3.0,2.43,0.42
Bwaise Junction,2026-06-01,12,Off-Peak,Day,282,294,9,45,4,2.83,2.44,0.34
Bwaise Junction,2026-06-01,12,Off-Peak,Day,284,358,2,54,3,3.37,2.37,0.56
Bwaise Junction,2026-06-01,12,Off-Peak,Day,253,281,4,41,4,3.52,2.98,0.4
Bwaise Junction,2026-06-01,13,Off-Peak,Day,224,208,17,52,0,2.71,1.78,0.33
Bwaise Junction,2026-06-01,13,Off-Peak,Day,303,287,14,10,3,2.56,2.57,0.45
Bwaise Junction,2026-06-01,13,Off-Peak,Day,296,315,9,29,8,3.29,2.13,0.45
Bwaise Junction,2026-06-01,13,Off-Peak,Day,245,304,6,62,0,4.04,2.42,0.34
Bwaise Junction,2026-06-01,14,Off-Peak,Day,317,292,4,64,6,4.38,2.26,0.45
Bwaise Junction,2026-06-01,14,Off-Peak,Day,292,368,15,60,4,3.53,2.23,0.47
Bwaise Junction,2026-06-01,14,Off-Peak,Day,286,302,25,44,0,3.9,2.24,0.4
Bwaise Junction,2026-06-01,14,Off-Peak,Day,300,364,2,50,7,2.59,3.1,0.46
Bwaise Junction,2026-06-01,15,Off-Peak,Day,267,364,7,48,6,2.98,2.87,0.59
Bwaise Junction,2026-06-01,15,Off-Peak,Day,285,372,10,47,6,3.12,2.16,0.55
Bwaise Junction,2026-06-01,15,Off-Peak,Day,207,393,2,28,4,3.45,2.83,0.42
Bwaise Junction,2026-06-01,15,Off-Peak,Day,256,304,16,44,3,3.55,2.79,0.51
Bwaise Junction,2026-06-01,16,Off-Peak,Day,428,442,18,42,7,3.04,2.73,0.61
Bwaise Junction,2026-06-01,16,Off-Peak,Day,387,447,23,78,7,3.58,1.8,0.78
Bwaise Junction,2026-06-01,16,Off-Peak,Day,400,487,19,66,6,3.2,2.16,0.61
Bwaise Junction,2026-06-01,16,Off-Peak,Day,407,502,8,62,3,3.9,2.26,0.7
Bwaise Junction,2026-06-01,17,Peak,Day,646,695,21,79,7,2.86,2.33,1.02
Bwaise Junction,2026-06-01,17,Peak,Day,633,796,28,67,8,2.59,1.8,1.1
Bwaise Junction,2026-06-01,17,Peak,Day,690,704,10,102,6,4.07,3.3,1.05
Bwaise Junction,2026-06-01,17,Peak,Day,688,767,39,78,10,2.89,2.5,1.06
Bwaise Junction,2026-06-01,18,Peak,Day,630,754,21,83,8,2.73,2.42,1.11
Bwaise Junction,2026-06-01,18,Peak,Day,580,723,16,70,12,2.79,3.24,1.0
Bwaise Junction,2026-06-01,18,Peak,Day,666,717,32,60,7,4.24,3.12,1.08
Bwaise Junction,2026-06-01,18,Peak,Day,606,732,18,50,9,3.07,1.86,0.97
Natete Junction,2026-06-01,7,Peak,Day,775,846,31,44,8,4.13,2.32,1.26
Natete Junction,2026-06-01,7,Peak,Day,810,853,22,83,10,3.25,2.42,1.29
Natete Junction,2026-06-01,7,Peak,Day,764,883,20,83,10,4.05,2.39,1.17
Natete Junction,2026-06-01,7,Peak,Day,767,796,27,89,10,3.33,2.71,1.15
Natete Junction,2026-06-01,8,Peak,Day,863,1024,18,73,9,3.53,2.49,1.3
Natete Junction,2026-06-01,8,Peak,Day,922,962,17,78,9,2.79,2.52,1.35
Natete Junction,2026-06-01,8,Peak,Day,906,999,34,83,6,2.76,1.33,1.35
Natete Junction,2026-06-01,8,Peak,Day,913,897,34,76,10,3.31,2.21,1.35
Natete Junction,2026-06-01,9,Off-Peak,Day,440,415,12,49,4,3.36,3.15,0.59
Natete Junction,2026-06-01,9,Off-Peak,Day,383,429,16,40,8,3.21,3.78,0.6
Natete Junction,2026-06-01,9,Off-Peak,Day,365,423,16,72,6,3.76,2.23,0.54
Natete Junction,2026-06-01,9,Off-Peak,Day,429,423,28,74,6,3.54,2.16,0.7
Natete Junction,2026-06-01,10,Off-Peak,Day,408,405,7,51,2,4.33,2.07,0.62
Natete Junction,2026-06-01,10,Off-Peak,Day,421,415,13,61,2,3.21,2.89,0.65
Natete Junction,2026-06-01,10,Off-Peak,Day,463,442,22,59,6,3.47,2.38,0.67
Natete Junction,2026-06-01,10,Off-Peak,Day,418,378,14,69,9,2.24,2.26,0.61
Natete Junction,2026-06-01,11,Off-Peak,Day,351,356,22,46,7,3.18,2.35,0.57
Natete Junction,2026-06-01,11,Off-Peak,Day,320,461,9,49,9,3.8,2.33,0.66
Natete Junction,2026-06-01,11,Off-Peak,Day,351,360,15,56,1,3.07,2.58,0.6
Natete Junction,2026-06-01,11,Off-Peak,Day,343,420,14,47,8,3.36,3.28,0.51
Natete Junction,2026-06-01,12,Off-Peak,Day,270,351,2,46,5,3.62,2.94,0.49
Natete Junction,2026-06-01,12,Off-Peak,Day,285,357,13,66,4,3.85,2.45,0.45
Natete Junction,2026-06-01,12,Off-Peak,Day,323,309,2,43,5,3.65,2.33,0.48
Natete Junction,2026-06-01,12,Off-Peak,Day,284,360,14,51,1,3.03,2.82,0.54
Natete Junction,2026-06-01,13,Off-Peak,Day,372,337,13,41,4,3.7,1.85,0.51
Natete Junction,2026-06-01,13,Off-Peak,Day,270,384,2,66,4,3.34,2.96,0.49
Natete Junction,2026-06-01,13,Off-Peak,Day,316,385,3,52,5,1.95,2.77,0.57
Natete Junction,2026-06-01,13,Off-Peak,Day,243,366,5,62,4,4.11,3.03,0.52
Natete Junction,2026-06-01,14,Off-Peak,Day,339,355,24,27,4,4.39,2.43,0.47
Natete Junction,2026-06-01,14,Off-Peak,Day,332,354,11,67,2,2.93,1.97,0.54
Natete Junction,2026-06-01,14,Off-Peak,Day,312,335,6,38,0,2.55,2.8,0.47
Natete Junction,2026-06-01,14,Off-Peak,Day,262,340,11,38,5,2.36,2.55,0.52
Natete Junction,2026-06-01,15,Off-Peak,Day,331,354,9,37,3,3.84,2.51,0.47
Natete Junction,2026-06-01,15,Off-Peak,Day,305,318,25,28,0,3.43,2.7,0.39
Natete Junction,2026-06-01,15,Off-Peak,Day,339,327,2,47,9,3.17,2.14,0.54
Natete Junction,2026-06-01,15,Off-Peak,Day,282,337,2,34,4,3.19,2.24,0.46
Natete Junction,2026-06-01,16,Off-Peak,Day,446,441,16,81,6,3.65,2.59,0.68
Natete Junction,2026-06-01,16,Off-Peak,Day,441,460,22,69,3,3.28,2.42,0.69
Natete Junction,2026-06-01,16,Off-Peak,Day,365,463,14,65,7,3.93,2.15,0.58
Natete Junction,2026-06-01,16,Off-Peak,Day,446,459,22,85,3,3.8,2.23,0.75
Natete Junction,2026-06-01,17,Peak,Day,790,911,39,83,7,3.7,1.8,1.3
Natete Junction,2026-06-01,17,Peak,Day,741,940,38,93,4,2.75,2.41,1.23
Natete Junction,2026-06-01,17,Peak,Day,826,951,25,96,6,2.46,2.18,1.3
Natete Junction,2026-06-01,17,Peak,Day,856,850,35,72,8,2.9,2.67,1.27
Natete Junction,2026-06-01,18,Peak,Day,799,921,24,80,6,3.26,2.35,1.26
Natete Junction,2026-06-01,18,Peak,Day,855,921,25,76,10,3.89,2.65,1.28
Natete Junction,2026-06-01,18,Peak,Day,815,836,27,66,4,4.17,3.39,1.21
Natete Junction,2026-06-01,18,Peak,Day,817,827,33,73,5,3.22,2.31,1.18
Wandegeya Junction,2026-06-02,7,Peak,Day,770,793,10,79,14,2.03,2.39,1.1
Wandegeya Junction,2026-06-02,7,Peak,Day,812,787,34,82,6,4.62,1.9,1.18
Wandegeya Junction,2026-06-02,7,Peak,Day,760,880,28,78,9,3.43,2.36,1.19
Wandegeya Junction,2026-06-02,7,Peak,Day,730,851,31,76,11,2.41,3.0,1.17
Wandegeya Junction,2026-06-02,8,Peak,Day,803,905,21,101,2,3.83,2.59,1.35
Wandegeya Junction,2026-06-02,8,Peak,Day,836,950,28,93,10,3.2,2.44,1.33
Wandegeya Junction,2026-06-02,8,Peak,Day,866,953,27,50,10,3.29,2.34,1.32
Wandegeya Junction,2026-06-02,8,Peak,Day,859,898,37,90,6,2.99,2.84,1.23
Wandegeya Junction,2026-06-02,9,Off-Peak,Day,397,456,20,63,4,3.7,2.8,0.67
Wandegeya Junction,2026-06-02,9,Off-Peak,Day,404,441,22,69,5,3.22,2.2,0.6
Wandegeya Junction,2026-06-02,9,Off-Peak,Day,374,395,7,53,0,3.3,2.17,0.58
Wandegeya Junction,2026-06-02,9,Off-Peak,Day,412,363,18,47,3,3.71,2.42,0.53
Wandegeya Junction,2026-06-02,10,Off-Peak,Day,290,431,10,39,5,3.98,1.98,0.55
Wandegeya Junction,2026-06-02,10,Off-Peak,Day,367,478,2,69,6,3.7,2.11,0.61
Wandegeya Junction,2026-06-02,10,Off-Peak,Day,378,448,16,87,6,3.29,1.79,0.62
Wandegeya Junction,2026-06-02,10,Off-Peak,Day,346,385,7,55,3,3.3,2.5,0.61
Wandegeya Junction,2026-06-02,11,Off-Peak,Day,347,417,9,40,3,2.63,2.17,0.55
Wandegeya Junction,2026-06-02,11,Off-Peak,Day,372,395,8,53,7,3.5,2.46,0.57
Wandegeya Junction,2026-06-02,11,Off-Peak,Day,321,287,14,49,9,3.78,2.99,0.52
Wandegeya Junction,2026-06-02,11,Off-Peak,Day,348,360,12,47,7,3.23,2.32,0.59
Wandegeya Junction,2026-06-02,12,Off-Peak,Day,306,262,9,15,2,3.05,2.44,0.35
Wandegeya Junction,2026-06-02,12,Off-Peak,Day,335,333,6,46,6,3.82,2.47,0.44
Wandegeya Junction,2026-06-02,12,Off-Peak,Day,247,258,15,52,5,2.87,2.95,0.35
Wandegeya Junction,2026-06-02,12,Off-Peak,Day,342,284,2,50,3,3.03,2.43,0.5
Wandegeya Junction,2026-06-02,13,Off-Peak,Day,263,365,10,38,4,2.02,2.42,0.42
Wandegeya Junction,2026-06-02,13,Off-Peak,Day,325,334,29,41,4,2.71,2.95,0.53
Wandegeya Junction,2026-06-02,13,Off-Peak,Day,323,353,16,45,6,3.12,2.27,0.54
Wandegeya Junction,2026-06-02,13,Off-Peak,Day,352,286,11,27,5,3.39,2.6,0.47
Wandegeya Junction,2026-06-02,14,Off-Peak,Day,356,277,8,35,4,3.21,3.16,0.39
Wandegeya Junction,2026-06-02,14,Off-Peak,Day,312,291,10,38,3,3.94,2.72,0.44
Wandegeya Junction,2026-06-02,14,Off-Peak,Day,312,361,2,59,9,2.89,2.0,0.46
Wandegeya Junction,2026-06-02,14,Off-Peak,Day,320,381,8,44,3,2.88,3.34,0.53
Wandegeya Junction,2026-06-02,15,Off-Peak,Day,304,416,2,44,4,3.21,3.05,0.51
Wandegeya Junction,2026-06-02,15,Off-Peak,Day,352,278,2,41,3,2.5,2.68,0.5
Wandegeya Junction,2026-06-02,15,Off-Peak,Day,250,343,26,36,5,2.98,2.7,0.46
Wandegeya Junction,2026-06-02,15,Off-Peak,Day,291,364,24,29,1,4.04,2.64,0.51
Wandegeya Junction,2026-06-02,16,Off-Peak,Day,417,420,12,69,9,3.06,2.61,0.62
Wandegeya Junction,2026-06-02,16,Off-Peak,Day,415,554,11,59,5,3.67,2.43,0.69
Wandegeya Junction,2026-06-02,16,Off-Peak,Day,464,527,9,55,1,2.96,2.82,0.78
