No,Link Name/Mother station,ADT including summary motorcycles (24 hr counts),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72
10.0,Tirinyi - Budaka - Kamonkoli,4880,0,0,5446,5292,4838,4741,4847,4105,0,4103,4343,4481,4281,4259,4481,4461,4614,4363,0,4000,4593,0,5009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5156,0,5839,3886,0,0,0,0,3946,2512,0,0,6780,3960,4785,4494,5850,5701,0,0,0,0,4553,4823,5487,0,0,0,0,0,0
11.0,Palisa - Kanyago Bridge,2147,2010,0,1699,1720,2203,1669,1530,3100,2331,1916,1716,2165,1801,1931,1716,1805,1773,1614,1547,1587,1863,1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,Kumi - Brooks corner,2488,3125,3109,2527,2587,2190,2249,2247,2249,2344,2318,2543,1778,0,2496,2445,1033,0,2206,2335,0,2383,0,2479,2524,2608,0,2524,2380,2273,0,0,0,2525,2425,2396,1842,1856,2615,0,2949,0,2646,0,0,0,0,0,0,0,2061,2343,630,2468,2618,2664,2342,2506,0,0,0,0,573,2145,429,450,0,0,0,0,0
13.0,Lira - Corner Kilak,1597,0,0,1731,1734,1508,1629,1637,0,0,892,850,777,2165,708,1954,1976,0,1813,1681,1486,0,0,1566,1748,1652,1566,1536,649,1598,0,0,0,2435,0,2636,1936,1827,2012,1261,1876,1723,1866,1680,0,0,0,0,2047,1795,0,0,1574,1496,0,1665,1665,1385,779,0,0,0,0,1084,1307,2020,0,1489,0,1263,0
14.0,Lamogi - Amuru Junction,1257,1080,0,1754,850,821,906,1030,1004,2300,0,902,798,901,704,832,841,0,0,901,896,862,739,819,1782,898,917,786,834,1177,0,1028,1019,1063,1024,1039,1090,0,1073,0,1071,0,1278,1171,0,0,0,0,0,0,1043,0,1142,1124,1267,1185,1167,1220,1031,0,0,0,1286,0,0,1373,0,1131,0,519,833
15.0,Nebi - Olevu,960,1064,0,831,933,0,892,812.5,0,0,881,946,860,901,888,832,1033,906,2206,963,888,995,1001,852,0,921,1021,1000,1351,0,0,0,0,0,0,1049,1312,1146,1073,1057,956,1185,1100,506,0,0,0,0,1121,0,0,1163,1585,1789,1324,674,1350,1301,1298,0,0,0,1172,1163,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type of Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mortocycles/bicycles,<2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saloon cars,2.3 - 4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minibuses/matatus/Pickups/Vans/4WD,4.2 - 5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Medium buses/Light single unit truck,5.3 - 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buses/medium - large unit Trucks,8.0 - 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trailers,12 - 25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
