Intersection,Date,Hour,Period,Weather,Cars,Boda_bodas,Tricycles,Minibuses,Heavy_Trucks
Bakuli Intersection,2026-06-01,13,Off-Peak,Dry,197,448,91,63,15
Bakuli Intersection,2026-06-01,13,Off-Peak,Dry,108,197,60,43,7
Bakuli Intersection,2026-06-01,14,Off-Peak,Dry,154,299,95,67,10
Bakuli Intersection,2026-06-01,14,Off-Peak,Dry,171,303,85,80,8
Bakuli Intersection,2026-06-01,14,Off-Peak,Dry,178,371,79,77,11
Bakuli Intersection,2026-06-01,14,Off-Peak,Dry,205,447,94,98,12
Bakuli Intersection,2026-06-01,15,Off-Peak,Dry,127,235,57,61,3
Bakuli Intersection,2026-06-01,15,Off-Peak,Dry,153,373,93,65,7
Bakuli Intersection,2026-06-01,15,Off-Peak,Dry,161,371,65,53,7
Bakuli Intersection,2026-06-01,15,Off-Peak,Dry,189,418,86,90,9
Bakuli Intersection,2026-06-01,16,Peak,Dry,428,987,202,131,15
Bakuli Intersection,2026-06-01,16,Peak,Dry,417,1149,253,194,12
Bakuli Intersection,2026-06-01,16,Peak,Dry,424,718,261,206,21
Bakuli Intersection,2026-06-01,16,Peak,Dry,387,676,185,165,28
Bakuli Intersection,2026-06-01,17,Peak,Dry,365,765,173,145,29
Bakuli Intersection,2026-06-01,17,Peak,Dry,436,891,187,147,8
Bakuli Intersection,2026-06-01,17,Peak,Dry,517,1266,204,252,12
Bakuli Intersection,2026-06-01,17,Peak,Dry,439,1349,290,194,11
Bakuli Intersection,2026-06-01,18,Peak,Dry,427,903,249,176,33
Bakuli Intersection,2026-06-01,18,Peak,Dry,472,1019,276,225,29
Bakuli Intersection,2026-06-01,18,Peak,Dry,329,1079,173,162,9
Bakuli Intersection,2026-06-01,18,Peak,Dry,439,715,218,137,34
Bakuli Intersection,2026-06-01,19,Off-Peak,Dry,373,633,156,167,22
Bakuli Intersection,2026-06-01,19,Off-Peak,Dry,507,795,212,168,18
Bakuli Intersection,2026-06-01,19,Off-Peak,Dry,465,861,201,140,29
Bakuli Intersection,2026-06-01,19,Off-Peak,Dry,469,1251,187,200,13
Bakuli Intersection,2026-06-01,20,Off-Peak,Dry,110,258,57,48,6
Bakuli Intersection,2026-06-01,20,Off-Peak,Dry,147,241,52,49,6
Bakuli Intersection,2026-06-01,20,Off-Peak,Dry,243,434,130,83,19
Bakuli Intersection,2026-06-01,20,Off-Peak,Dry,154,232,64,51,6
Bakuli Intersection,2026-06-01,21,Off-Peak,Dry,179,489,117,53,7
Bakuli Intersection,2026-06-01,21,Off-Peak,Dry,174,310,103,79,5
Bakuli Intersection,2026-06-01,21,Off-Peak,Dry,206,528,125,87,5
Bakuli Intersection,2026-06-01,21,Off-Peak,Dry,203,388,105,87,16
Bakuli Intersection,2026-06-02,6,Off-Peak,Dry,204,389,113,90,5
Bakuli Intersection,2026-06-02,6,Off-Peak,Dry,152,297,96,56,6
Bakuli Intersection,2026-06-02,6,Off-Peak,Dry,131,287,67,55,8
Bakuli Intersection,2026-06-02,6,Off-Peak,Dry,179,513,112,89,11
Bakuli Intersection,2026-06-02,7,Peak,Dry,380,845,222,114,21
Bakuli Intersection,2026-06-02,7,Peak,Dry,472,1004,287,160,31
Bakuli Intersection,2026-06-02,7,Peak,Dry,436,1209,277,163,9
Bakuli Intersection,2026-06-02,7,Peak,Dry,466,966,241,144,18
Bakuli Intersection,2026-06-02,8,Peak,Dry,303,659,232,119,6
Bakuli Intersection,2026-06-02,8,Peak,Dry,476,1121,226,179,32
Bakuli Intersection,2026-06-02,8,Peak,Dry,506,1263,271,173,15
Bakuli Intersection,2026-06-02,8,Peak,Dry,384,799,190,156,29
Bakuli Intersection,2026-06-02,9,Off-Peak,Dry,510,869,232,215,14
Bakuli Intersection,2026-06-02,9,Off-Peak,Dry,416,1185,195,185,8
Bakuli Intersection,2026-06-02,9,Off-Peak,Dry,377,805,195,176,7
Bakuli Intersection,2026-06-02,9,Off-Peak,Dry,387,1040,262,133,15
Bakuli Intersection,2026-06-02,10,Off-Peak,Dry,188,481,98,84,8
Bakuli Intersection,2026-06-02,10,Off-Peak,Dry,186,511,91,73,12
Bakuli Intersection,2026-06-02,10,Off-Peak,Dry,118,203,60,35,4
Bakuli Intersection,2026-06-02,10,Off-Peak,Dry,129,250,59,57,4
Bakuli Intersection,2026-06-02,11,Off-Peak,Dry,140,290,59,57,3
Bakuli Intersection,2026-06-02,11,Off-Peak,Dry,143,343,58,45,11
Bakuli Intersection,2026-06-02,11,Off-Peak,Dry,244,570,124,113,6
Bakuli Intersection,2026-06-02,11,Off-Peak,Dry,132,346,79,64,4
Bakuli Intersection,2026-06-02,12,Off-Peak,Dry,229,426,87,106,11
Bakuli Intersection,2026-06-02,12,Off-Peak,Dry,146,342,90,66,6
Bakuli Intersection,2026-06-02,12,Off-Peak,Dry,132,394,82,46,6
Bakuli Intersection,2026-06-02,12,Off-Peak,Dry,197,440,90,60,8
Bakuli Intersection,2026-06-02,13,Off-Peak,Dry,206,370,108,84,7
Bakuli Intersection,2026-06-02,13,Off-Peak,Dry,139,263,74,67,3
Bakuli Intersection,2026-06-02,13,Off-Peak,Dry,186,614,110,64,9
Bakuli Intersection,2026-06-02,13,Off-Peak,Dry,232,380,101,86,5
Bakuli Intersection,2026-06-02,14,Off-Peak,Dry,127,247,84,40,9
Bakuli Intersection,2026-06-02,14,Off-Peak,Dry,211,318,107,93,5
Bakuli Intersection,2026-06-02,14,Off-Peak,Dry,171,567,94,82,6
Bakuli Intersection,2026-06-02,14,Off-Peak,Dry,225,545,115,83,9
Bakuli Intersection,2026-06-02,15,Off-Peak,Dry,143,259,52,66,6
Bakuli Intersection,2026-06-02,15,Off-Peak,Dry,118,294,83,46,7
Bakuli Intersection,2026-06-02,15,Off-Peak,Dry,175,332,92,61,10
Bakuli Intersection,2026-06-02,15,Off-Peak,Dry,192,482,73,69,4
Bakuli Intersection,2026-06-02,16,Peak,Dry,321,956,176,112,8
Bakuli Intersection,2026-06-02,16,Peak,Dry,429,1072,216,185,13
Bakuli Intersection,2026-06-02,16,Peak,Dry,353,770,189,116,19
Bakuli Intersection,2026-06-02,16,Peak,Dry,432,1025,204,205,31
Bakuli Intersection,2026-06-02,17,Peak,Dry,338,766,171,149,12
Bakuli Intersection,2026-06-02,17,Peak,Dry,327,859,212,148,18
Bakuli Intersection,2026-06-02,17,Peak,Dry,353,835,237,113,27
Bakuli Intersection,2026-06-02,17,Peak,Dry,493,938,198,218,21
Bakuli Intersection,2026-06-02,18,Peak,Dry,432,1200,237,176,16
Bakuli Intersection,2026-06-02,18,Peak,Dry,469,811,238,195,24
Bakuli Intersection,2026-06-02,18,Peak,Dry,460,718,210,193,31
Bakuli Intersection,2026-06-02,18,Peak,Dry,345,883,184,134,11
Bakuli Intersection,2026-06-02,19,Off-Peak,Dry,398,687,174,133,28
Bakuli Intersection,2026-06-02,19,Off-Peak,Dry,394,1006,156,143,14
Bakuli Intersection,2026-06-02,19,Off-Peak,Dry,322,920,208,127,22
Bakuli Intersection,2026-06-02,19,Off-Peak,Dry,443,1032,232,190,15
Bakuli Intersection,2026-06-02,20,Off-Peak,Dry,161,293,91,59,6
Bakuli Intersection,2026-06-02,20,Off-Peak,Dry,107,261,75,46,3
Bakuli Intersection,2026-06-02,20,Off-Peak,Dry,161,365,101,64,11
Bakuli Intersection,2026-06-02,20,Off-Peak,Dry,132,286,69,40,9
Bakuli Intersection,2026-06-02,21,Off-Peak,Dry,200,445,100,80,11
Bakuli Intersection,2026-06-02,21,Off-Peak,Dry,129,366,82,63,7
Bakuli Intersection,2026-06-02,21,Off-Peak,Dry,141,392,77,45,8
Bakuli Intersection,2026-06-02,21,Off-Peak,Dry,153,316,80,61,8
Bakuli Intersection,2026-06-03,6,Off-Peak,Dry,158,354,80,67,8
Bakuli Intersection,2026-06-03,6,Off-Peak,Dry,145,313,66,69,3
Bakuli Intersection,2026-06-03,6,Off-Peak,Dry,186,478,121,66,10
Bakuli Intersection,2026-06-03,6,Off-Peak,Dry,156,301,80,66,7
Bakuli Intersection,2026-06-03,7,Peak,Dry,519,944,272,221,27
Bakuli Intersection,2026-06-03,7,Peak,Dry,366,1184,219,181,9
Bakuli Intersection,2026-06-03,7,Peak,Dry,398,664,212,122,31
Bakuli Intersection,2026-06-03,7,Peak,Dry,304,770,214,146,15
Bakuli Intersection,2026-06-03,8,Peak,Dry,464,823,205,170,32
Bakuli Intersection,2026-06-03,8,Peak,Dry,293,845,165,134,9
Bakuli Intersection,2026-06-03,8,Peak,Dry,342,702,224,133,8
Bakuli Intersection,2026-06-03,8,Peak,Dry,376,812,190,158,13
Bakuli Intersection,2026-06-03,9,Off-Peak,Dry,408,821,252,125,8
Bakuli Intersection,2026-06-03,9,Off-Peak,Dry,406,872,179,124,11
Bakuli Intersection,2026-06-03,9,Off-Peak,Dry,535,1090,243,210,28
Bakuli Intersection,2026-06-03,9,Off-Peak,Dry,382,979,236,183,10
Bakuli Intersection,2026-06-03,10,Off-Peak,Dry,138,229,66,59,4
Bakuli Intersection,2026-06-03,10,Off-Peak,Dry,151,360,58,59,4
Bakuli Intersection,2026-06-03,10,Off-Peak,Dry,190,539,111,75,6
Bakuli Intersection,2026-06-03,10,Off-Peak,Dry,155,420,104,62,8
Bakuli Intersection,2026-06-03,11,Off-Peak,Dry,124,248,63,39,7
Bakuli Intersection,2026-06-03,11,Off-Peak,Dry,162,438,89,69,11
Bakuli Intersection,2026-06-03,11,Off-Peak,Dry,127,244,66,43,5
Bakuli Intersection,2026-06-03,11,Off-Peak,Dry,188,466,86,56,13
Bakuli Intersection,2026-06-03,12,Off-Peak,Dry,160,441,107,55,3
Bakuli Intersection,2026-06-03,12,Off-Peak,Dry,140,209,62,58,5
Bakuli Intersection,2026-06-03,12,Off-Peak,Dry,199,375,78,89,12
Bakuli Intersection,2026-06-03,12,Off-Peak,Dry,147,374,62,48,8
Bakuli Intersection,2026-06-03,13,Off-Peak,Dry,140,383,72,43,6
Bakuli Intersection,2026-06-03,13,Off-Peak,Dry,189,488,108,93,8
Bakuli Intersection,2026-06-03,13,Off-Peak,Dry,154,370,78,73,10
Bakuli Intersection,2026-06-03,13,Off-Peak,Dry,182,411,114,87,11
Bakuli Intersection,2026-06-03,14,Off-Peak,Dry,219,413,94,92,11
Bakuli Intersection,2026-06-03,14,Off-Peak,Dry,190,530,105,58,7
Bakuli Intersection,2026-06-03,14,Off-Peak,Dry,201,507,103,85,14
Bakuli Intersection,2026-06-03,14,Off-Peak,Dry,178,358,125,72,11
Bakuli Intersection,2026-06-03,15,Off-Peak,Dry,166,340,91,69,5
Bakuli Intersection,2026-06-03,15,Off-Peak,Dry,168,401,74,59,4
Bakuli Intersection,2026-06-03,15,Off-Peak,Dry,160,352,100,58,10
Bakuli Intersection,2026-06-03,15,Off-Peak,Dry,204,433,98,69,10
Bakuli Intersection,2026-06-03,16,Peak,Dry,483,1101,282,154,17
Bakuli Intersection,2026-06-03,16,Peak,Dry,404,1231,239,144,13
Bakuli Intersection,2026-06-03,16,Peak,Dry,408,774,196,160,14
Bakuli Intersection,2026-06-03,16,Peak,Dry,435,770,187,154,12
Bakuli Intersection,2026-06-03,17,Peak,Dry,324,787,182,126,11
Bakuli Intersection,2026-06-03,17,Peak,Dry,394,1146,252,184,22
Bakuli Intersection,2026-06-03,17,Peak,Dry,353,774,225,110,15
Bakuli Intersection,2026-06-03,17,Peak,Dry,330,1022,161,164,8
Bakuli Intersection,2026-06-03,18,Peak,Dry,332,1013,226,152,25
Bakuli Intersection,2026-06-03,18,Peak,Dry,491,1252,191,168,27
Bakuli Intersection,2026-06-03,18,Peak,Dry,424,880,228,193,28
Bakuli Intersection,2026-06-03,18,Peak,Dry,486,858,217,166,21
Bakuli Intersection,2026-06-03,19,Off-Peak,Dry,441,786,200,194,18
Bakuli Intersection,2026-06-03,19,Off-Peak,Dry,421,615,170,158,31
Bakuli Intersection,2026-06-03,19,Off-Peak,Dry,438,739,229,142,34
Bakuli Intersection,2026-06-03,19,Off-Peak,Dry,397,1016,266,127,25
Bakuli Intersection,2026-06-03,20,Off-Peak,Dry,146,236,81,44,6
Bakuli Intersection,2026-06-03,20,Off-Peak,Dry,172,406,91,61,6
Bakuli Intersection,2026-06-03,20,Off-Peak,Dry,235,526,106,82,18
Bakuli Intersection,2026-06-03,20,Off-Peak,Dry,242,456,88,88,6
Bakuli Intersection,2026-06-03,21,Off-Peak,Dry,207,336,98,92,5
Bakuli Intersection,2026-06-03,21,Off-Peak,Dry,161,369,106,74,8
Bakuli Intersection,2026-06-03,21,Off-Peak,Dry,171,577,120,72,7
Bakuli Intersection,2026-06-03,21,Off-Peak,Dry,122,326,52,39,9
Bakuli Intersection,2026-06-04,6,Off-Peak,Wet (Rain),150,301,101,74,9
Bakuli Intersection,2026-06-04,6,Off-Peak,Wet (Rain),151,312,98,60,7
Bakuli Intersection,2026-06-04,6,Off-Peak,Wet (Rain),212,368,99,79,8
Bakuli Intersection,2026-06-04,6,Off-Peak,Wet (Rain),128,251,65,40,9
Bakuli Intersection,2026-06-04,7,Peak,Wet (Rain),431,890,155,144,21
Bakuli Intersection,2026-06-04,7,Peak,Dry,400,1393,276,152,31
Bakuli Intersection,2026-06-04,7,Peak,Dry,483,950,193,170,35
Bakuli Intersection,2026-06-04,7,Peak,Dry,366,1080,274,120,9
Bakuli Intersection,2026-06-04,8,Peak,Wet (Rain),291,893,190,96,7
Bakuli Intersection,2026-06-04,8,Peak,Dry,326,992,217,147,6
Bakuli Intersection,2026-06-04,8,Peak,Dry,508,732,259,186,11
Bakuli Intersection,2026-06-04,8,Peak,Dry,368,814,183,169,17
Bakuli Intersection,2026-06-04,9,Off-Peak,Wet (Rain),394,886,174,143,14
Bakuli Intersection,2026-06-04,9,Off-Peak,Dry,532,1300,266,211,17
Bakuli Intersection,2026-06-04,9,Off-Peak,Wet (Rain),423,723,164,142,16
Bakuli Intersection,2026-06-04,9,Off-Peak,Wet (Rain),364,782,211,143,25
Bakuli Intersection,2026-06-04,10,Off-Peak,Wet (Rain),202,507,92,96,9
Bakuli Intersection,2026-06-04,10,Off-Peak,Wet (Rain),178,417,77,62,9
Bakuli Intersection,2026-06-04,10,Off-Peak,Dry,147,249,73,46,4
Bakuli Intersection,2026-06-04,10,Off-Peak,Wet (Rain),180,324,85,81,5
Bakuli Intersection,2026-06-04,11,Off-Peak,Wet (Rain),193,536,100,70,6
Bakuli Intersection,2026-06-04,11,Off-Peak,Dry,164,350,85,50,4
Bakuli Intersection,2026-06-04,11,Off-Peak,Dry,156,485,113,73,4
Bakuli Intersection,2026-06-04,11,Off-Peak,Dry,204,603,111,85,14
Bakuli Intersection,2026-06-04,12,Off-Peak,Wet (Rain),183,463,84,67,9
Bakuli Intersection,2026-06-04,12,Off-Peak,Dry,144,269,80,61,5
Bakuli Intersection,2026-06-04,12,Off-Peak,Dry,145,332,104,63,3
Bakuli Intersection,2026-06-04,12,Off-Peak,Dry,181,375,109,71,4
Bakuli Intersection,2026-06-04,13,Off-Peak,Wet (Rain),173,309,81,54,7
Bakuli Intersection,2026-06-04,13,Off-Peak,Dry,149,318,75,54,9
Bakuli Intersection,2026-06-04,13,Off-Peak,Dry,198,316,88,60,12
Bakuli Intersection,2026-06-04,13,Off-Peak,Wet (Rain),186,414,83,75,9
Bakuli Intersection,2026-06-04,14,Off-Peak,Dry,180,512,78,56,11
Bakuli Intersection,2026-06-04,14,Off-Peak,Wet (Rain),145,390,78,68,10
Bakuli Intersection,2026-06-04,14,Off-Peak,Dry,198,428,83,93,4
Bakuli Intersection,2026-06-04,14,Off-Peak,Dry,180,493,84,78,4
Bakuli Intersection,2026-06-04,15,Off-Peak,Dry,164,400,87,54,7
Bakuli Intersection,2026-06-04,15,Off-Peak,Wet (Rain),170,461,89,70,10
Bakuli Intersection,2026-06-04,15,Off-Peak,Wet (Rain),100,228,61,34,3
Bakuli Intersection,2026-06-04,15,Off-Peak,Dry,164,251,84,52,9
Bakuli Intersection,2026-06-04,16,Peak,Dry,431,1098,187,184,22
Bakuli Intersection,2026-06-04,16,Peak,Wet (Rain),291,690,161,111,18
Bakuli Intersection,2026-06-04,16,Peak,Dry,375,1087,221,184,7
Bakuli Intersection,2026-06-04,16,Peak,Dry,393,1079,207,161,12
Bakuli Intersection,2026-06-04,17,Peak,Wet (Rain),372,958,153,164,24
Bakuli Intersection,2026-06-04,17,Peak,Dry,490,774,246,230,10
Bakuli Intersection,2026-06-04,17,Peak,Wet (Rain),396,1022,208,187,24
Bakuli Intersection,2026-06-04,17,Peak,Wet (Rain),306,889,183,105,7
Bakuli Intersection,2026-06-04,18,Peak,Wet (Rain),304,571,139,137,17
Bakuli Intersection,2026-06-04,18,Peak,Dry,515,769,232,186,11
Bakuli Intersection,2026-06-04,18,Peak,Wet (Rain),310,841,193,99,9
Bakuli Intersection,2026-06-04,18,Peak,Dry,374,925,192,176,16
Bakuli Intersection,2026-06-04,19,Off-Peak,Wet (Rain),332,563,168,147,22
Bakuli Intersection,2026-06-04,19,Off-Peak,Dry,422,1228,259,140,24
Bakuli Intersection,2026-06-04,19,Off-Peak,Wet (Rain),397,1062,182,155,19
Bakuli Intersection,2026-06-04,19,Off-Peak,Wet (Rain),284,739,146,114,13
Bakuli Intersection,2026-06-04,20,Off-Peak,Dry,111,218,71,48,5
Bakuli Intersection,2026-06-04,20,Off-Peak,Dry,165,567,102,53,8
Bakuli Intersection,2026-06-04,20,Off-Peak,Dry,149,266,71,48,8
Bakuli Intersection,2026-06-04,20,Off-Peak,Dry,161,444,98,59,8
Bakuli Intersection,2026-06-04,21,Off-Peak,Dry,214,397,97,93,13
Bakuli Intersection,2026-06-04,21,Off-Peak,Wet (Rain),161,297,102,73,11
Bakuli Intersection,2026-06-04,21,Off-Peak,Dry,183,335,128,62,12
Bakuli Intersection,2026-06-04,21,Off-Peak,Wet (Rain),128,211,75,42,8
Bakuli Intersection,2026-06-05,6,Off-Peak,Dry,169,420,76,71,9
Bakuli Intersection,2026-06-05,6,Off-Peak,Dry,149,294,58,57,4
Bakuli Intersection,2026-06-05,6,Off-Peak,Dry,135,206,79,56,4
Bakuli Intersection,2026-06-05,6,Off-Peak,Dry,195,406,103,84,14
Bakuli Intersection,2026-06-05,7,Peak,Dry,398,847,206,127,21
Bakuli Intersection,2026-06-05,7,Peak,Dry,555,1067,251,267,33
Bakuli Intersection,2026-06-05,7,Peak,Dry,406,1254,257,141,25
Bakuli Intersection,2026-06-05,7,Peak,Dry,398,774,256,156,27
Bakuli Intersection,2026-06-05,8,Peak,Dry,368,687,221,136,27
Bakuli Intersection,2026-06-05,8,Peak,Dry,392,991,237,121,14
Bakuli Intersection,2026-06-05,8,Peak,Dry,455,840,266,177,32
Bakuli Intersection,2026-06-05,8,Peak,Dry,458,1057,218,182,19
Bakuli Intersection,2026-06-05,9,Off-Peak,Dry,386,1126,215,168,13
Bakuli Intersection,2026-06-05,9,Off-Peak,Dry,439,682,186,192,21
Bakuli Intersection,2026-06-05,9,Off-Peak,Dry,324,1081,196,123,25
Bakuli Intersection,2026-06-05,9,Off-Peak,Dry,552,952,290,239,29
Bakuli Intersection,2026-06-05,10,Off-Peak,Dry,174,254,74,65,13
Bakuli Intersection,2026-06-05,10,Off-Peak,Dry,140,418,103,69,5
Bakuli Intersection,2026-06-05,10,Off-Peak,Dry,253,581,125,77,10
Bakuli Intersection,2026-06-05,10,Off-Peak,Dry,179,527,84,55,12
Bakuli Intersection,2026-06-05,11,Off-Peak,Dry,199,465,93,75,12
Bakuli Intersection,2026-06-05,11,Off-Peak,Dry,130,306,76,63,6
Bakuli Intersection,2026-06-05,11,Off-Peak,Dry,165,448,75,51,3
Bakuli Intersection,2026-06-05,11,Off-Peak,Dry,233,620,107,76,13
Bakuli Intersection,2026-06-05,12,Off-Peak,Dry,148,402,109,52,11
Bakuli Intersection,2026-06-05,12,Off-Peak,Dry,137,374,81,52,10
Bakuli Intersection,2026-06-05,12,Off-Peak,Dry,172,517,81,80,5
Bakuli Intersection,2026-06-05,12,Off-Peak,Dry,174,374,94,64,5
Bakuli Intersection,2026-06-05,13,Off-Peak,Dry,225,528,81,70,6
Bakuli Intersection,2026-06-05,13,Off-Peak,Dry,257,425,118,102,18
Bakuli Intersection,2026-06-05,13,Off-Peak,Dry,147,367,64,50,3
Bakuli Intersection,2026-06-05,13,Off-Peak,Dry,163,445,85,74,12
Bakuli Intersection,2026-06-05,14,Off-Peak,Dry,144,283,102,45,10
Bakuli Intersection,2026-06-05,14,Off-Peak,Dry,129,357,71,49,5
Bakuli Intersection,2026-06-05,14,Off-Peak,Dry,106,286,62,33,6
Bakuli Intersection,2026-06-05,14,Off-Peak,Dry,112,294,65,33,3
Bakuli Intersection,2026-06-05,15,Off-Peak,Dry,153,342,112,73,5
Bakuli Intersection,2026-06-05,15,Off-Peak,Dry,167,272,96,75,10
Bakuli Intersection,2026-06-05,15,Off-Peak,Dry,182,460,89,70,6
Bakuli Intersection,2026-06-05,15,Off-Peak,Dry,172,297,85,76,11
Bakuli Intersection,2026-06-05,16,Peak,Dry,432,646,234,163,30
Bakuli Intersection,2026-06-05,16,Peak,Dry,460,920,243,228,18
Bakuli Intersection,2026-06-05,16,Peak,Dry,460,653,179,212,23
Bakuli Intersection,2026-06-05,16,Peak,Dry,425,1062,200,153,15
Bakuli Intersection,2026-06-05,17,Peak,Dry,526,1265,253,177,30
Bakuli Intersection,2026-06-05,17,Peak,Dry,365,1044,231,132,22
Bakuli Intersection,2026-06-05,17,Peak,Dry,483,656,183,161,25
Bakuli Intersection,2026-06-05,17,Peak,Dry,385,801,207,177,9
Bakuli Intersection,2026-06-05,18,Peak,Dry,356,1004,231,136,15
Bakuli Intersection,2026-06-05,18,Peak,Dry,339,738,224,143,21
Bakuli Intersection,2026-06-05,18,Peak,Dry,404,1175,267,155,11
Bakuli Intersection,2026-06-05,18,Peak,Dry,338,865,229,147,14
Bakuli Intersection,2026-06-05,19,Off-Peak,Dry,505,823,198,151,16
Bakuli Intersection,2026-06-05,19,Off-Peak,Dry,363,1000,273,114,17
Bakuli Intersection,2026-06-05,19,Off-Peak,Dry,355,1080,166,142,14
Bakuli Intersection,2026-06-05,19,Off-Peak,Dry,386,807,217,185,20
Bakuli Intersection,2026-06-05,20,Off-Peak,Dry,139,350,62,48,8
Bakuli Intersection,2026-06-05,20,Off-Peak,Dry,196,414,117,96,14
Bakuli Intersection,2026-06-05,20,Off-Peak,Dry,249,340,115,102,10
Bakuli Intersection,2026-06-05,20,Off-Peak,Dry,200,515,103,60,15
Bakuli Intersection,2026-06-05,21,Off-Peak,Dry,188,307,88,62,8
Bakuli Intersection,2026-06-05,21,Off-Peak,Dry,162,412,84,63,5
Bakuli Intersection,2026-06-05,21,Off-Peak,Dry,204,353,84,88,6
Bakuli Intersection,2026-06-05,21,Off-Peak,Dry,118,305,68,40,3
Bakuli Intersection,2026-06-06,6,Off-Peak,Dry,134,309,52,53,10
Bakuli Intersection,2026-06-06,6,Off-Peak,Dry,142,235,86,63,9
Bakuli Intersection,2026-06-06,6,Off-Peak,Dry,198,465,93,83,12
Bakuli Intersection,2026-06-06,6,Off-Peak,Dry,127,282,83,42,8
Bakuli Intersection,2026-06-06,7,Peak,Dry,417,1194,199,139,20
Bakuli Intersection,2026-06-06,7,Peak,Dry,470,1051,277,222,26
Bakuli Intersection,2026-06-06,7,Peak,Dry,351,783,239,136,7
Bakuli Intersection,2026-06-06,7,Peak,Dry,449,943,193,136,29
Bakuli Intersection,2026-06-06,8,Peak,Dry,354,754,250,160,8
Bakuli Intersection,2026-06-06,8,Peak,Dry,483,1154,244,213,10
Bakuli Intersection,2026-06-06,8,Peak,Dry,424,975,235,153,17
Bakuli Intersection,2026-06-06,8,Peak,Dry,491,715,251,199,34
Bakuli Intersection,2026-06-06,9,Off-Peak,Dry,421,966,222,172,31
Bakuli Intersection,2026-06-06,9,Off-Peak,Dry,342,924,218,135,15
Bakuli Intersection,2026-06-06,9,Off-Peak,Dry,388,987,196,164,29
Bakuli Intersection,2026-06-06,9,Off-Peak,Dry,499,1115,290,170,11
Bakuli Intersection,2026-06-06,10,Off-Peak,Dry,135,243,66,47,2
Bakuli Intersection,2026-06-06,10,Off-Peak,Dry,181,342,100,67,5
Bakuli Intersection,2026-06-06,10,Off-Peak,Dry,148,276,92,46,10
Bakuli Intersection,2026-06-06,10,Off-Peak,Dry,212,460,82,63,12
Bakuli Intersection,2026-06-06,11,Off-Peak,Dry,163,359,72,72,10
Bakuli Intersection,2026-06-06,11,Off-Peak,Dry,148,220,57,45,7
Bakuli Intersection,2026-06-06,11,Off-Peak,Dry,137,443,76,61,5
Bakuli Intersection,2026-06-06,11,Off-Peak,Dry,112,244,64,37,3
Bakuli Intersection,2026-06-06,12,Off-Peak,Dry,139,203,71,58,9
Bakuli Intersection,2026-06-06,12,Off-Peak,Dry,143,260,68,67,11
Bakuli Intersection,2026-06-06,12,Off-Peak,Dry,181,554,98,68,3
Bakuli Intersection,2026-06-06,12,Off-Peak,Dry,189,494,94,77,8
Bakuli Intersection,2026-06-06,13,Off-Peak,Dry,222,552,118,69,10
Bakuli Intersection,2026-06-06,13,Off-Peak,Dry,158,441,100,51,7
Bakuli Intersection,2026-06-06,13,Off-Peak,Dry,209,525,129,82,4
